date,tavg,tmin,tmax,prcp,wspd,pres,tsun,point_id,lat,lon
2015-01-01 00:00:00,7.0,1.1,12.8,,,1017.8,,Albania,41.3275,19.8187
2015-02-01 00:00:00,7.8,2.2,14.1,,,1013.7,,Albania,41.3275,19.8187
2015-03-01 00:00:00,10.8,5.2,16.9,,,1017.0,,Albania,41.3275,19.8187
2015-04-01 00:00:00,13.2,6.5,19.7,,,1018.0,,Albania,41.3275,19.8187
2015-05-01 00:00:00,19.2,12.3,26.7,,,1014.4,,Albania,41.3275,19.8187
2015-06-01 00:00:00,22.4,15.8,29.4,,,1015.2,,Albania,41.3275,19.8187
2015-07-01 00:00:00,26.9,19.2,35.4,,,1013.5,,Albania,41.3275,19.8187
2015-08-01 00:00:00,26.3,19.6,34.6,,,1013.7,,Albania,41.3275,19.8187
2015-09-01 00:00:00,22.7,16.1,30.7,,,1013.8,,Albania,41.3275,19.8187
2015-10-01 00:00:00,17.0,11.6,24.0,,,1016.3,,Albania,41.3275,19.8187
2015-11-01 00:00:00,12.4,6.9,19.5,,,1019.2,,Albania,41.3275,19.8187
2015-12-01 00:00:00,6.8,0.1,15.8,,,1029.2,,Albania,41.3275,19.8187
2015-01-01 00:00:00,0.1,-4.8,6.7,15.0,,,5160.0,Armenia,40.1872,44.5152
2015-02-01 00:00:00,4.4,0.9,10.6,7.0,,,9780.0,Armenia,40.1872,44.5152
2015-03-01 00:00:00,7.5,3.5,13.8,64.0,,,12060.0,Armenia,40.1872,44.5152
2015-04-01 00:00:00,13.9,7.9,19.0,49.0,,,13680.0,Armenia,40.1872,44.5152
2015-05-01 00:00:00,17.6,12.6,25.1,48.0,,,15900.0,Armenia,40.1872,44.5152
2015-06-01 00:00:00,24.6,18.9,33.4,11.0,,,20100.0,Armenia,40.1872,44.5152
2015-07-01 00:00:00,27.7,22.1,36.5,0.0,,,21840.0,Armenia,40.1872,44.5152
2015-08-01 00:00:00,27.1,21.7,35.3,18.0,,,19320.0,Armenia,40.1872,44.5152
2015-09-01 00:00:00,24.1,16.8,31.7,4.0,,,18240.0,Armenia,40.1872,44.5152
2015-10-01 00:00:00,14.5,11.4,19.7,103.0,,,8880.0,Armenia,40.1872,44.5152
2015-11-01 00:00:00,7.2,3.7,12.9,13.0,,,10980.0,Armenia,40.1872,44.5152
2015-12-01 00:00:00,-0.2,-2.5,4.1,29.0,,,,Armenia,40.1872,44.5152
2015-01-01 00:00:00,3.0,1.1,5.5,73.0,,1017.0,3420.0,Austria,48.2082,16.3738
2015-02-01 00:00:00,2.3,0.1,5.7,37.0,,1017.7,6960.0,Austria,48.2082,16.3738
2015-03-01 00:00:00,6.6,3.1,11.3,40.0,,1020.9,9060.0,Austria,48.2082,16.3738
2015-04-01 00:00:00,11.2,6.4,17.1,22.0,,1018.6,15300.0,Austria,48.2082,16.3738
2015-05-01 00:00:00,15.3,11.3,20.0,50.0,,1015.5,10680.0,Austria,48.2082,16.3738
2015-06-01 00:00:00,20.0,14.7,25.4,25.0,,1017.4,17280.0,Austria,48.2082,16.3738
2015-07-01 00:00:00,24.1,18.4,30.1,35.0,,1014.8,18600.0,Austria,48.2082,16.3738
2015-08-01 00:00:00,23.6,18.1,29.9,45.0,,1015.2,17880.0,Austria,48.2082,16.3738
2015-09-01 00:00:00,16.1,12.8,20.7,49.0,,1017.5,9600.0,Austria,48.2082,16.3738
2015-10-01 00:00:00,9.9,7.5,13.0,80.0,,1019.7,5040.0,Austria,48.2082,16.3738
2015-11-01 00:00:00,8.4,5.9,12.1,38.0,,1019.7,8100.0,Austria,48.2082,16.3738
2015-12-01 00:00:00,4.2,2.5,6.7,25.0,,1030.8,4980.0,Austria,48.2082,16.3738
2015-01-01 00:00:00,4.6,2.8,7.7,23.0,,1022.2,7560.0,Azerbaijan,40.4093,49.8671
2015-02-01 00:00:00,5.3,3.0,7.5,63.0,,1019.9,3840.0,Azerbaijan,40.4093,49.8671
2015-03-01 00:00:00,7.5,4.7,10.3,,,1023.4,7140.0,Azerbaijan,40.4093,49.8671
2015-04-01 00:00:00,10.9,7.4,15.0,32.0,,1016.2,10620.0,Azerbaijan,40.4093,49.8671
2015-05-01 00:00:00,18.6,14.8,23.3,0.0,,1014.3,,Azerbaijan,40.4093,49.8671
2015-06-01 00:00:00,25.6,20.8,30.9,0.0,,1011.6,17280.0,Azerbaijan,40.4093,49.8671
2015-07-01 00:00:00,27.3,22.8,31.7,0.0,,1012.5,16920.0,Azerbaijan,40.4093,49.8671
2015-08-01 00:00:00,27.3,22.2,32.2,0.0,,1014.8,17760.0,Azerbaijan,40.4093,49.8671
2015-09-01 00:00:00,24.1,19.0,29.2,19.0,,1018.7,15480.0,Azerbaijan,40.4093,49.8671
2015-10-01 00:00:00,16.3,13.8,19.0,0.0,,1020.6,4980.0,Azerbaijan,40.4093,49.8671
2015-11-01 00:00:00,11.0,7.7,13.3,0.0,,1020.2,5520.0,Azerbaijan,40.4093,49.8671
2015-12-01 00:00:00,7.2,3.6,10.6,53.0,,1024.7,6480.0,Azerbaijan,40.4093,49.8671
2015-01-01 00:00:00,-1.3,-3.2,0.3,62.0,,1012.0,1200.0,Belarus,53.9006,27.559
2015-02-01 00:00:00,-1.1,-3.4,1.2,21.0,,1017.4,3660.0,Belarus,53.9006,27.559
2015-03-01 00:00:00,4.0,0.3,8.1,27.0,,1021.9,8400.0,Belarus,53.9006,27.559
2015-04-01 00:00:00,7.3,3.0,12.6,60.0,,1011.2,9600.0,Belarus,53.9006,27.559
2015-05-01 00:00:00,12.7,7.5,17.7,66.0,,1013.9,19980.0,Belarus,53.9006,27.559
2015-06-01 00:00:00,17.6,11.8,23.0,13.0,,1016.5,18420.0,Belarus,53.9006,27.559
2015-07-01 00:00:00,18.7,13.8,24.0,52.0,,1012.2,14940.0,Belarus,53.9006,27.559
2015-08-01 00:00:00,21.2,14.7,27.7,6.0,,1020.0,16020.0,Belarus,53.9006,27.559
2015-09-01 00:00:00,14.5,11.0,19.1,100.0,,1018.2,7440.0,Belarus,53.9006,27.559
2015-10-01 00:00:00,5.4,2.0,9.1,32.0,,1024.1,8880.0,Belarus,53.9006,27.559
2015-11-01 00:00:00,3.8,2.1,5.7,82.0,,1013.4,2340.0,Belarus,53.9006,27.559
2015-12-01 00:00:00,1.6,-0.2,3.3,41.0,,1022.3,1560.0,Belarus,53.9006,27.559
2015-01-01 00:00:00,3.5,1.0,6.0,124.0,,1015.7,2580.0,Belgium,50.8503,4.3517
2015-02-01 00:00:00,3.3,0.2,6.3,58.0,,1016.9,4800.0,Belgium,50.8503,4.3517
2015-03-01 00:00:00,6.6,2.7,10.3,53.0,,1020.6,8040.0,Belgium,50.8503,4.3517
2015-04-01 00:00:00,10.3,5.1,15.1,24.0,,1021.3,13680.0,Belgium,50.8503,4.3517
2015-05-01 00:00:00,13.1,8.3,17.4,63.0,,1015.8,12600.0,Belgium,50.8503,4.3517
2015-06-01 00:00:00,16.5,11.3,21.2,53.0,,1019.7,14760.0,Belgium,50.8503,4.3517
2015-07-01 00:00:00,19.0,14.6,23.3,36.0,,1014.9,11460.0,Belgium,50.8503,4.3517
2015-08-01 00:00:00,19.4,14.4,24.5,69.0,,1014.9,13140.0,Belgium,50.8503,4.3517
2015-09-01 00:00:00,13.5,9.8,17.6,59.0,,1017.1,8520.0,Belgium,50.8503,4.3517
2015-10-01 00:00:00,10.2,6.9,13.8,41.0,,1017.9,6360.0,Belgium,50.8503,4.3517
2015-11-01 00:00:00,10.1,7.3,13.1,104.0,,1017.2,3720.0,Belgium,50.8503,4.3517
2015-12-01 00:00:00,9.7,8.1,11.7,57.0,,1023.1,,Belgium,50.8503,4.3517
